month,monthly_pnl,cum_pnl,trade_count
2019-11,8000.0,8000.0,3
2019-12,-16000.0,-8000.0,14
2020-01,24000.0,16000.0,13
2020-02,104000.0,120000.0,27
2020-03,8000.0,128000.0,233
2020-04,64000.0,192000.0,34
2020-05,-56000.0,136000.0,19
2020-06,16000.0,152000.0,22
2020-07,-24000.0,128000.0,25
2020-08,32000.0,160000.0,30
2020-09,8000.0,168000.0,9
2020-10,-32000.0,136000.0,14
2020-11,24000.0,160000.0,27
2020-12,-24000.0,136000.0,9
2021-01,32000.0,168000.0,12
2021-02,48000.0,216000.0,14
2021-03,48000.0,264000.0,24
2021-04,-24000.0,240000.0,21
2021-05,8000.0,248000.0,15
2021-06,-16000.0,232000.0,18
2021-07,-8000.0,224000.0,19
2021-08,32000.0,256000.0,16
2021-09,8000.0,264000.0,19
2021-10,48000.0,312000.0,24
2021-11,16000.0,328000.0,32
2021-12,-8000.0,320000.0,17
2022-01,80000.0,400000.0,24
2022-02,-16000.0,384000.0,20
2022-03,112000.0,496000.0,66
2022-04,40000.0,536000.0,95
2022-05,-16000.0,520000.0,74
2022-06,0.0,520000.0,116
2022-07,56000.0,576000.0,93
2022-08,96000.0,672000.0,122
2022-09,32000.0,704000.0,164
2022-10,24000.0,728000.0,135
2022-11,40000.0,768000.0,177
2022-12,96000.0,864000.0,144
2023-01,-128000.0,736000.0,164
2023-02,-144000.0,592000.0,100
2023-03,32000.0,624000.0,172
2023-04,40000.0,664000.0,75
2023-05,144000.0,808000.0,80
2023-06,-120000.0,688000.0,73
2023-07,-24000.0,664000.0,126
2023-08,0.0,664000.0,72
2023-09,-8000.0,656000.0,35
2023-10,-40000.0,616000.0,43
2023-11,136000.0,752000.0,65
2023-12,24000.0,776000.0,131
2024-01,88000.0,864000.0,102
2024-02,16000.0,880000.0,38
2024-03,16000.0,896000.0,52
2024-04,72000.0,968000.0,87
2024-05,88000.0,1056000.0,89
2024-06,-16000.0,1040000.0,58
2024-07,112000.0,1152000.0,167
2024-08,-120000.0,1032000.0,283
2024-09,-104000.0,928000.0,202
2024-10,0.0,928000.0,95
2024-11,-32000.0,896000.0,128
2024-12,-32000.0,864000.0,96
2025-01,-72000.0,792000.0,119
2025-02,-32000.0,760000.0,103
2025-03,-104000.0,656000.0,129
2025-04,-112000.0,544000.0,246
2025-05,112000.0,656000.0,134
2025-06,-8000.0,648000.0,89
2025-07,56000.0,704000.0,85
2025-08,-96000.0,608000.0,66
2025-09,64000.0,672000.0,56
2025-10,144000.0,816000.0,84
2025-11,-24000.0,792000.0,45
2025-12,72000.0,864000.0,59
2026-01,-72000.0,792000.0,83
2026-02,72000.0,864000.0,97
2026-03,-96000.0,768000.0,70
2026-04,16000.0,784000.0,60
2026-05,40000.0,824000.0,39
